R0001 A1,A2
R0002 A6,A7,A8,A9
R0003 A13,A14,A15,A16
R0004 B1,B2,B3
R0005 B7,B8,B9,B10,B11,B12
R0006 C1,C2,C3,C4,C5,C6,C7
R0007 B16,B17
R0008 C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
R0009 D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15
R0010 D19,D20
R0011 E1,E2,E3,E4,E5
R0012 F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
R0013 G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20
R0014 H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16
R0015 E9,E10,E11,E12,E13,E14,E15,E16,E17,E18
R0016 A20
R0017 H20
R0018 I1,I2,I3,I4,I5,I6,I7
